mese,categoria,cod_stazione,ruolo,oltre_10,info_mancante,in_ritardo,in_orario,parzialmente_cancellate,in_anticipo,minuti_ritardo_tot,oltre_5,corse_osservate,oltre_15,oltre_30,minuti_anticipo_tot,oltre_60,effettuate,soppresse,cancellate_tot,minuti_netti_tot,cancellate,nome_stazione,ritardo_medio,ritardo_mediano,p95,p90
2026-03,IC,S06725,partenza,24,0,41,30,0,60,824.0,41,131,18,7,231.0,3,130,0,1,593.0,1,LIVORNO CENTRALE,4.526717557251908,0.0,30.0,19.0
2026-03,IC,S07004,arrivo,2,0,11,14,0,1,113.0,11,26,0,0,1.0,0,26,0,0,112.0,0,PERUGIA,4.307692307692308,4.0,10.5,8.5
2026-03,IC,S07004,partenza,2,0,10,11,0,5,105.0,10,26,1,0,12.0,0,26,0,0,93.0,0,PERUGIA,3.576923076923077,4.0,11.0,7.5
2026-03,IC,S07105,arrivo,4,0,5,1,0,0,131.0,5,6,2,1,0.0,1,6,0,0,131.0,0,FANO,21.83333333333333,10.0,63.25,50.5
2026-03,IC,S07105,partenza,1,0,3,3,0,0,61.0,3,6,1,1,0.0,0,6,0,0,61.0,0,FANO,10.166666666666666,4.5,33.25,24.5
2026-03,IC,S07113,arrivo,4,0,10,26,0,9,160.0,10,45,3,0,16.0,0,45,0,0,144.0,0,ANCONA,3.2,2.0,15.399999999999993,8.600000000000001
2026-03,IC,S07113,partenza,2,0,5,13,0,27,66.0,5,45,1,0,169.0,0,45,0,0,-103.0,0,ANCONA,-2.2888888888888888,-2.0,6.0,4.200000000000003
2026-03,IC,S07208,arrivo,0,0,2,4,0,6,20.0,2,12,0,0,10.0,0,12,0,0,10.0,0,FABRIANO,0.8333333333333334,-0.5,7.449999999999999,6.500000000000003
2026-03,IC,S07208,partenza,0,0,1,2,0,10,8.0,1,13,0,0,72.0,0,13,0,0,-64.0,0,FABRIANO,-4.923076923076923,-8.0,3.199999999999996,1.8000000000000007
2026-03,IC,S07209,arrivo,0,0,0,1,0,1,3.0,0,2,0,0,1.0,0,2,0,0,2.0,0,FOSSATO DI VICO GUBBIO,1.0,1.0,2.8,2.6
2026-03,IC,S07209,partenza,0,0,0,1,0,1,0.0,0,2,0,0,3.0,0,2,0,0,-3.0,0,FOSSATO DI VICO GUBBIO,-1.5,-1.5,-0.1500000000000003,-0.2999999999999998
2026-03,IC,S07217,arrivo,0,0,0,1,0,2,2.0,0,3,0,0,3.0,0,3,0,0,-1.0,0,FOLIGNO,-0.3333333333333333,-1.0,1.6999999999999995,1.4000000000000004
2026-03,IC,S07217,partenza,1,0,1,0,0,2,11.0,1,3,0,0,17.0,0,3,0,0,-6.0,0,FOLIGNO,-2.0,-6.0,9.3,7.600000000000001
2026-03,IC,S07226,arrivo,10,0,16,4,0,7,570.0,16,27,6,4,30.0,2,27,0,0,540.0,0,TERNI,20.0,6.0,66.59999999999998,46.400000000000006
2026-03,IC,S07226,partenza,12,0,17,5,0,9,296.0,17,31,9,2,41.0,0,30,0,1,255.0,1,TERNI,8.225806451612904,6.0,30.5,24.0
2026-03,IC,S07503,arrivo,0,0,0,2,0,0,3.0,0,2,0,0,0.0,0,2,0,0,3.0,0,LORETO,1.5,1.5,1.95,1.9
2026-03,IC,S07503,partenza,0,0,1,0,0,1,9.0,1,2,0,0,1.0,0,2,0,0,8.0,0,LORETO,4.0,4.0,8.5,8.0
2026-03,IC,S07810,arrivo,2,0,7,9,0,14,185.0,7,30,2,2,44.0,1,30,0,0,141.0,0,PESCARA,4.7,0.5,36.049999999999855,7.100000000000002
