mese,categoria,cod_stazione,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ruolo,nome_stazione,ritardo_mediano,p95,ritardo_medio,p90
2024-06,ICN,S11145,0,69,0,64.0,1,611.0,69,11,29,0,43,15,43,0,0,4,15,675.0,nodo,LECCE,3.0,15.674999999999994,3.7936507936507935,11.450000000000006
2024-06,ICN,S12002,0,84,0,519.0,5,152.0,84,17,19,0,19,12,19,0,0,6,48,671.0,nodo,PALERMO CENTRALE,-2.5,50.69999999999997,1.563265306122449,32.50000000000004
2024-06,ICN,S12301,0,84,0,519.0,5,152.0,84,17,19,0,19,12,19,0,0,6,48,671.0,nodo,MESSINA CENTRALE,-2.5,50.69999999999997,1.563265306122449,32.50000000000004
2024-06,ICN,S12349,0,66,0,126.0,5,1245.0,66,10,27,0,36,26,36,0,0,16,20,1371.0,nodo,SIRACUSA,5.25,59.09999999999993,15.092592592592592,39.35
2024-06,IR,S02332,0,1,0,0.0,0,43.0,1,0,1,0,1,1,1,0,0,1,0,43.0,nodo,MOZZECANE,43.0,43.0,43.0,43.0
2024-06,IR,S02336,0,1,0,0.0,0,43.0,1,0,1,0,1,1,1,0,0,1,0,43.0,nodo,MANTOVA,43.0,43.0,43.0,43.0
2024-06,MET,N_4867F34F8972,0,2805,0,2661.0,0,-278.0,2805,1234,36,0,96,13,96,0,0,1,1429,2383.0,nodo,NAPOLI S.GIOV.BARRA,-0.5,3.5,-0.10600342494194512,2.0
2024-06,MET,S09101,0,2762,0,2697.0,0,-223.0,2762,1193,44,0,101,18,101,0,0,2,1433,2474.0,nodo,POZZUOLI SOLFATARA,-0.5,4.0,-0.0797247133888174,2.0
2024-06,MET,S09103,0,2107,0,2923.0,2,600.0,2107,682,98,0,191,55,191,0,0,9,1187,3523.0,nodo,NAPOLI CAMPI FLEGREI,-0.5,8.75,0.2607250049423986,4.0
2024-06,MET,S09110,0,91,0,156.0,0,72.0,91,20,10,0,13,5,13,0,0,1,58,228.0,nodo,NAPOLI GIANTURCO,-2.0,11.275,0.7492746615087041,8.2
2024-06,MET,S09211,0,399,0,357.0,1,920.0,399,148,42,0,72,26,72,0,0,3,169,1277.0,nodo,CASERTA,0.5,19.05000000000001,2.3922865967303903,9.5
2024-06,MET,S09213,0,24,0,5.0,0,232.0,24,8,8,0,13,6,13,0,0,2,3,237.0,nodo,CANCELLO,8.0,22.45,9.132867132867132,20.000000000000004
2024-06,MET,S09215,0,10,0,10.0,0,11.0,10,2,0,0,3,0,3,0,0,0,5,21.0,nodo,ACERRA,1.5,2.3,1.1,2.1
2024-06,MET,S09218,0,24,0,21.0,0,28.0,24,7,1,0,6,0,6,0,0,0,9,49.0,nodo,NAPOLI CENTRALE,1.5,7.174999999999998,1.433333333333333,5.95
2024-06,MET,S09756,0,62,0,0.0,0,48.0,62,53,1,0,3,1,3,0,0,0,0,48.0,nodo,CASTELLAMMARE DI STABIA,4.5,5.799999999999996,4.854545454545455,5.0
2024-06,MET,S09806,0,73,0,95.0,0,-2.0,73,16,4,0,6,2,6,0,0,0,51,93.0,nodo,TORRE ANNUNZIATA CENTRALE,-1.25,5.999999999999986,-0.0229323308270676,3.250000000000004
2024-06,MET,S09814,0,605,0,891.0,1,-4.0,605,188,16,0,58,7,58,0,0,1,353,887.0,nodo,NOCERA INFERIORE,-1.5,6.75,-0.0420079200792007,4.5
2024-06,MET,S09818,0,748,0,1155.0,0,140.0,748,268,26,0,76,13,76,0,0,3,390,1295.0,nodo,SALERNO,0.0,7.5,0.1949600738930934,4.5
2024-06,MET,S11721,0,18,0,21.0,0,-14.0,18,7,0,0,0,0,0,0,0,0,9,7.0,nodo,SAPRI,-1.0,1.8999999999999997,-0.8,1.3
2024-06,NCL,N_83C8957FEDE6,0,1,0,7.0,0,-7.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,PIEDIMONTE-V.S.L.-AQUINO,-7.0,-7.0,-7.0,-7.0
2024-06,NCL,N_979136A15902,0,1,0,43.0,0,-43.0,1,0,0,0,0,0,0,0,0,0,1,0.0,nodo,1`BIVIO ORTE NORD,-43.0,-43.0,-43.0,-43.0
2024-06,NCL,N_C76BB014A48D,0,1,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,nodo,SAN GIUSEPPE DI CAIRO,0.0,0.0,0.0,0.0
