mese,categoria,soppresse,oltre_15,parzialmente_cancellate,oltre_30,minuti_netti_tot,effettuate,minuti_ritardo_tot,cancellate_tot,oltre_10,oltre_60,corse_osservate,oltre_5,in_orario,cancellate,info_mancante,in_ritardo,minuti_anticipo_tot,in_anticipo,ritardo_mediano,p90,p95,ritardo_medio
2025-07,IR,0,5,0,5,234.0,11,235.0,0,5,1,11,7,3,0,0,7,1.0,1,8.0,39.0,55.5,21.27272727272728
2025-07,MET,0,109,0,35,3428.0,6781,9790.0,0,197,10,6781,382,2950,0,0,382,6362.0,3190,0.0,3.0,5.0,0.5256056424409691
2025-07,NCL,0,2,0,2,253.0,13,430.0,0,3,1,13,4,0,0,0,4,177.0,5,-6.0,114.60000000000004,235.7999999999999,28.11111111111111
2025-07,REG,0,7476,0,2663,334037.0,230388,585401.0,0,12815,615,230388,33834,95303,0,0,33834,251364.0,95408,0.0,6.0,11.0,1.4876171814112984
2025-07,,0,3650,0,1980,185686.0,15834,202720.0,0,4986,758,15834,7472,4084,0,0,7472,17034.0,4040,4.0,36.0,59.0,11.906001538856115
2025-08,EC,0,135,0,57,6048.0,1405,8510.0,0,232,23,1405,428,319,0,0,428,2462.0,641,1.0,14.0,26.0,4.357348703170029
2025-08,EN,0,49,0,24,2442.0,123,2609.0,0,61,10,123,77,24,0,0,77,167.0,22,9.0,49.8,79.49999999999996,19.853658536585368
2025-08,EXP,0,14,0,7,363.0,49,727.0,0,17,3,49,21,7,0,0,21,364.0,20,1.0,35.400000000000034,61.29999999999997,7.5625
2025-08,IC,0,565,0,286,26874.0,3040,33362.0,0,812,111,3040,1183,710,0,0,1183,6488.0,1139,2.0,28.0,52.0,8.863456464379947
2025-08,ICN,0,56,0,32,619.0,652,3513.0,0,84,11,652,143,149,0,0,143,2894.0,360,-1.0,11.0,28.0,0.9493865030674846
2025-08,IR,0,0,0,0,-3.0,1,0.0,0,0,0,1,0,0,0,0,0,3.0,1,-3.0,-3.0,-3.0,-3.0
2025-08,MET,0,24,0,4,-1134.0,6565,5442.0,0,48,0,6565,171,3030,0,0,171,6576.0,3319,-1.0,2.0,3.0,-0.1739263803680981
2025-08,NCL,0,13,0,11,784.0,23,951.0,0,13,6,23,16,2,0,0,16,167.0,5,19.0,119.2,121.9,34.08695652173913
2025-08,REG,0,5237,0,1860,183437.0,208384,440918.0,0,8911,407,208384,24426,86936,0,0,24426,257481.0,94944,0.0,5.0,9.0,0.8891500974280923
2025-08,,0,1712,0,816,59360.0,13270,95026.0,0,2474,250,13270,4092,3362,0,0,4092,35666.0,5812,1.0,19.0,34.0,4.474596713402684
2025-09,DIR,0,1,0,0,27.0,1,27.0,0,1,0,1,1,0,0,0,1,0.0,0,27.0,27.0,27.0,27.0
2025-09,EC,0,195,0,85,8828.0,1372,10761.0,0,293,26,1372,507,311,0,0,507,1933.0,475,2.0,22.0,37.0,6.827532869296211
2025-09,EN,0,45,0,27,2960.0,112,2993.0,0,63,12,112,82,23,0,0,82,33.0,7,11.0,61.400000000000034,110.94999999999963,26.428571428571427
2025-09,EXP,0,17,0,11,984.0,65,1113.0,0,17,5,65,23,9,0,0,23,129.0,16,3.5,59.800000000000026,77.09999999999998,20.5
2025-09,IC,0,657,0,320,29550.0,3131,34745.0,0,894,110,3131,1340,777,0,0,1340,5195.0,976,3.0,30.0,50.0,9.553831231813772
2025-09,ICN,0,58,0,31,2456.0,497,3973.0,0,74,17,497,137,122,0,0,137,1517.0,238,0.0,17.400000000000034,36.19999999999999,4.941649899396379
2025-09,IR,0,1,0,0,36.0,5,38.0,0,2,0,5,2,1,0,0,2,2.0,1,9.0,18.200000000000003,19.1,9.0
2025-09,MET,0,65,0,24,-25.0,7396,9269.0,0,155,3,7396,486,2967,0,0,486,9294.0,3710,-1.0,3.0,5.0,-0.0034901577551305
2025-09,NCL,0,5,0,5,-41.0,17,276.0,0,6,1,17,6,1,0,0,6,317.0,10,-4.0,38.2,58.99999999999994,-2.411764705882353
2025-09,REG,0,8385,0,2878,419125.0,233138,650609.0,0,14597,652,233138,38951,98785,0,0,38951,231484.0,88833,1.0,7.0,12.0,1.8498779621219144
2025-09,,0,3294,0,1628,157538.0,15116,175490.0,0,4648,578,15116,7068,3822,0,0,7068,17952.0,3994,4.0,32.0,51.0,10.584385917764042
2025-10,DIR,0,0,0,0,0.0,1,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
2025-10,EC,0,187,0,76,7466.0,1476,9777.0,0,295,22,1476,522,358,0,0,522,2311.0,552,2.0,18.0,31.0,5.2136871508379885
2025-10,EN,0,12,0,5,526.0,43,544.0,0,15,2,43,26,12,0,0,26,18.0,5,6.0,29.20000000000002,45.899999999999984,12.232558139534884
2025-10,EXP,0,9,0,7,490.0,48,728.0,0,10,6,48,12,6,0,0,12,238.0,26,-2.0,67.90000000000002,74.4,11.136363636363635
2025-10,IC,0,511,0,242,23678.0,3305,29622.0,0,751,92,3305,1264,799,0,0,1264,5944.0,1141,2.0,22.0,42.0,7.390137328339575
2025-10,ICN,0,57,0,30,1580.0,561,3273.0,0,78,11,561,142,139,0,0,142,1693.0,280,0.0,15.0,35.0,2.8163992869875223
