giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,nome_partenza,nome_arrivo
2026-02-14,EC,S02026,S02001,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,BOLZANO,BRENNERO
2026-02-14,EC,S02430,S02001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,0,VERONA PORTA NUOVA,BRENNERO
2026-02-14,EC,S02593,S01003,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,-10,-10.0,-10.0,-10.0,-10.0,0,VENEZIA S.LUCIA,DOMODOSSOLA
2026-02-14,EC,S02593,S01301,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,0,VENEZIA S.LUCIA,CHIASSO
2026-02-14,EC,S02593,S02001,2,2,0,0,0,0,1,1,0,1,1,0,0,0,15,0,15,7.5,7.5,11.1,11.55,0,VENEZIA S.LUCIA,BRENNERO
2026-02-14,EC,S05043,S02001,2,2,0,0,0,0,1,1,0,1,1,1,0,0,20,0,20,10.0,10.0,16.4,17.2,0,BOLOGNA CENTRALE,BRENNERO
2026-02-14,EC,S06421,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,0,FIRENZE SANTA MARIA NOVELLA,CHIASSO
2026-02-14,ECFR,S00201,S01700,2,2,0,0,0,0,0,2,0,2,2,0,0,0,26,0,26,13.0,13.0,13.8,13.9,0,MODANE,MILANO CENTRALE
2026-02-14,EN,S05043,S08217,1,1,0,0,0,0,0,1,0,1,1,1,1,0,36,0,36,36.0,36.0,36.0,36.0,0,BOLOGNA CENTRALE,ROMA TIBURTINA
2026-02-14,EXP,S02430,S06500,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,5,5.0,5.0,5.0,5.0,0,VERONA PORTA NUOVA,PISA CENTRALE
2026-02-14,EXP,S07113,S02430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-12,-12.0,-12.0,-12.0,-12.0,0,ANCONA,VERONA PORTA NUOVA
2026-02-14,FA,S04700,S08409,2,2,0,0,0,0,0,1,1,1,1,1,1,1,122,5,117,58.5,58.5,109.3,115.65,0,GENOVA PIAZZA PRINCIPE,ROMA TERMINI
2026-02-14,FA,S05811,S08409,1,1,0,0,0,0,0,1,0,1,1,1,1,0,46,0,46,46.0,46.0,46.0,46.0,0,RAVENNA,ROMA TERMINI
