mese,tipo_giorno,fascia_oraria,categoria,cancellate_tot,effettuate,info_mancante,minuti_anticipo_tot,oltre_60,minuti_netti_tot,corse_osservate,in_orario,oltre_10,cancellate,in_ritardo,oltre_15,oltre_5,parzialmente_cancellate,soppresse,oltre_30,in_anticipo,minuti_ritardo_tot,ritardo_mediano,p95,ritardo_medio,p90
2024-06,weekend,sera,NCL,0,3,0,1.0,0,18.0,3,1,1,0,1,1,1,0,0,0,1,19.0,0.0,17.099999999999998,6.0,15.199999999999998
2024-06,weekend,sera,REG,0,8412,0,8826.0,18,14414.0,8412,3346,618,0,1428,340,1428,0,0,90,3345,23240.0,0.0,13.0,1.7753417908609437,7.0
2024-06,weekend,sera,,0,188,0,524.0,2,493.0,188,45,33,0,57,18,57,0,0,8,82,1017.0,0.19148936170212752,25.95212765957441,2.67033096926714,14.844680851063831
2024-06,weekend,tarda_mattina,EC,0,62,0,83.0,1,335.0,62,15,16,0,25,7,25,0,0,3,20,418.0,2.5,26.44999999999997,5.583333333333333,15.0
2024-06,weekend,tarda_mattina,EXP,0,2,0,40.0,0,-2.0,2,0,1,0,1,1,1,0,0,1,1,38.0,-1.0,34.099999999999994,-1.0,30.200000000000003
2024-06,weekend,tarda_mattina,IC,0,201,0,362.0,13,2253.0,201,52,56,0,81,47,81,0,0,30,65,2615.0,3.0,69.14999999999998,11.37878787878788,42.30000000000001
2024-06,weekend,tarda_mattina,ICN,0,14,0,14.0,0,108.0,14,4,4,0,5,2,5,0,0,1,5,122.0,3.0,32.999999999999986,7.714285714285714,17.200000000000006
2024-06,weekend,tarda_mattina,MET,0,356,0,468.0,0,-212.0,356,134,2,0,12,1,12,0,0,0,206,256.0,-1.0,3.0,-0.6022727272727273,2.0
2024-06,weekend,tarda_mattina,REG,0,10100,0,9960.0,25,16429.0,10100,4232,606,0,1597,349,1597,0,0,106,3874,26389.0,0.0,11.0,1.693187673915284,7.0
2024-06,weekend,tarda_mattina,,0,479,0,455.0,26,6391.0,479,118,168,0,237,125,237,0,0,71,117,6846.0,4.935281837160751,66.24947807933194,13.546608344103124,39.64091858037578
2024-07,infrasettimanale,mattina,EC,0,45,0,122.0,1,81.0,45,7,7,0,12,5,12,0,0,1,26,203.0,-1.0,19.799999999999983,1.8,14.200000000000005
