giorno,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2024-06-14 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-6.0,-6.0,-6.0,-6.0,-6.0
2024-06-14 00:00:00,IC,98,98.0,0.0,0.0,0.0,0.0,3.0,67.0,28.0,43.0,29.0,21.0,8.0,3.0,1061.0,88.0,973.0,9.928571428571429,4.0,28.599999999999994,50.14999999999999
2024-06-14 00:00:00,ICN,15,15.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,2.0,1.0,0.0,0.0,55.0,37.0,18.0,1.2,1.0,9.399999999999997,18.09999999999998
2024-06-14 00:00:00,MET,226,226.0,0.0,0.0,0.0,0.0,22.0,73.0,131.0,1.0,0.0,0.0,0.0,0.0,140.0,279.0,-139.0,-0.6150442477876106,-1.0,2.0,3.0
2024-06-14 00:00:00,NCL,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,-23.0,-23.0,-23.0,-23.0,-23.0
2024-06-14 00:00:00,REG,7834,7818.0,16.0,0.0,0.0,16.0,786.0,3994.0,3038.0,883.0,336.0,175.0,47.0,2.0,18218.0,7777.0,10441.0,1.335507802507035,1.0,6.0,10.0
2024-06-15 00:00:00,,240,240.0,0.0,0.0,0.0,0.0,5.0,168.0,67.0,110.0,81.0,66.0,40.0,24.0,4378.0,321.0,4057.0,16.904166666666665,5.0,59.39999999999998,103.44999999999985
2024-06-15 00:00:00,EC,21,21.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,7.0,7.0,6.0,3.0,2.0,265.0,22.0,243.0,11.571428571428571,2.0,35.0,61.0
2024-06-15 00:00:00,EN,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0
2024-06-15 00:00:00,EXP,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-06-15 00:00:00,IC,101,101.0,0.0,0.0,0.0,0.0,0.0,70.0,31.0,50.0,38.0,31.0,18.0,7.0,1881.0,156.0,1725.0,17.07920792079208,5.0,47.0,69.0
2024-06-15 00:00:00,ICN,14,14.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,24.0,87.0,-63.0,-4.5,-4.0,6.500000000000005,8.7
2024-06-15 00:00:00,MET,218,218.0,0.0,0.0,0.0,0.0,32.0,69.0,117.0,1.0,0.0,0.0,0.0,0.0,145.0,271.0,-126.0,-0.5779816513761468,-1.0,2.3000000000000114,3.0
2024-06-15 00:00:00,REG,6629,6613.0,16.0,0.0,0.0,16.0,641.0,3229.0,2743.0,719.0,270.0,162.0,61.0,14.0,15959.0,7166.0,8793.0,1.3296537123846968,0.0,6.0,9.0
2024-06-16 00:00:00,,156,132.0,24.0,0.0,0.0,24.0,3.0,90.0,39.0,66.0,51.0,41.0,27.0,7.0,2176.0,260.0,1916.0,14.515151515151516,5.5,47.0,60.89999999999998
2024-06-16 00:00:00,EC,23,20.0,3.0,0.0,0.0,3.0,0.0,9.0,11.0,5.0,4.0,3.0,3.0,1.0,186.0,42.0,144.0,7.2,-1.5,38.100000000000016,49.250000000000014
